question_code,正答率,選択率1,選択率2,選択率3,選択率4,選択率5,識別値,70%以上のフラグ
113A095,92.2,5,0.7,2.1,92.2,,0.15,〇
113A096,89.4,9.4,0.8,89.4,0.3,,0.11,〇
113A097,91.6,0.4,91.6,7.1,0.9,,0.21,〇
113A098,60.6,0.5,38.1,0.8,60.6,,0.34,×
113A099,93.4,4.8,0.5,93.4,1.3,,0.03,〇
113A100,87.9,1.3,8.7,87.9,2.1,,0.23,〇
113A101,91.1,0.8,91.1,6.2,1.9,,0.20,〇
113A102,96.4,0.2,1.7,96.4,1.6,,0.07,〇
113A103,64.7,6.4,64.7,3.8,25.1,,0.25,×
113A104,46.3,17.7,24.3,11.6,46.3,,0.11,×
113A105,97.7,0.5,0.3,0.2,1.3,97.7,0.09,〇
113A106,65.1,,,,,,0.37,×
113A107,92.2,92.2,2,0.3,5.5,,0.12,〇
113A108,59.9,14.1,16.6,59.9,9.4,,0.23,×
113A109,79.6,8.6,6.8,4.9,79.6,,0.38,〇
113A110,50,9.4,21.4,50,19.2,,0.15,×
113A111,85.1,4.1,85.1,5.2,5.6,,0.34,〇
113A112,68.9,0.1,29,2,68.9,,0.32,×
113A113,81.9,4.3,0.3,81.9,13.5,,0.33,〇
113A114,94,0.1,94,3.7,2.2,,0.03,〇
113A115,97.2,0.4,97.2,2.2,0.2,,0.13,〇
113A116,91.5,1.9,4,2.6,91.5,,0.23,〇
113A117,87.4,0.1,12.4,87.4,0.1,,0.11,〇
113A118,92.3,2.7,92.3,1,3.9,,0.28,〇
113A119,95.9,0.3,1,2.7,95.9,,0.13,〇
113A120,98.2,98.2,0.4,0.3,1.1,,0.12,〇
113P001,99.4,0.3,0.2,99.4,0.1,,0.03,〇
113P002,63,4.4,63,27.1,5.4,,0.05,×
113P003,98.4,0.1,0.3,1.1,98.4,,0.10,〇
113P004,92.4,5.1,1.5,1,92.4,,0.09,〇
113P005,60.1,7,16.5,60.1,16.4,,0.32,×
113P006,97.3,97.3,1.1,0.2,1.3,,0.17,〇
113P007,99.5,0.1,0.2,99.5,0.2,,0.03,〇
113P008,97.6,97.6,1.1,0.1,1.1,,0.13,〇
113P009,88.2,2,4.2,88.2,5.7,,0.14,〇
113P010,98.5,0.3,98.5,1,0.3,,0.10,〇
113P011,35.1,35.1,38.4,15.2,11.3,,-0.04,×
113P012,86.4,1.1,5.8,86.4,6.8,,0.13,〇
113P013,98.2,0.1,1.3,98.2,0.4,,0.11,〇
113P014,71,71,11.2,16.4,1.4,,0.36,〇
113P015,69.8,69.8,26.9,1.3,2,,0.37,×
113P016,94.8,0.3,94.8,3.1,1.8,,0.25,〇
113P017,93,5.1,93,1.6,0.2,,0.17,〇
113P018,97.3,97.3,0.7,0.1,1.9,,0.14,〇
113P019,97.9,0.3,0.9,97.9,0.9,,0.09,〇
113P020,95.6,1.7,1.8,0.8,95.6,,0.17,〇
113P021,NULL,51.1,2.1,42.4,4.4,,nan,〇
113P022,98.6,0.1,0.9,0.4,98.6,,0.09,〇
113P023,91.6,1.9,3.9,91.6,2.7,,0.16,〇
113P024,87.2,0.2,87.2,3.1,9.6,,0.28,〇
113P025,93.7,1.1,4.4,93.7,0.6,0.2,0.24,〇
113P026,93.5,93.5,1.1,2.1,3.3,,0.22,〇
113P027,47.4,31.3,4.2,47.4,17,,0.35,×
113P028,90.5,3.9,1.6,4,90.5,,0.32,〇
113P029,44.2,44.2,8.5,39.5,7.8,,0.23,×
113P030,97.1,2,0.3,0.7,97.1,,0.13,〇
113P031,42.4,2.1,12.9,42.4,42.6,,0.16,×
113P032,92.9,92.9,2,4.3,0.8,,0.08,〇
113P033,80.4,80.4,0.2,2.6,16.8,,0.24,〇
113P034,95.5,1.3,95.5,1.3,1.8,,0.21,〇
113P035,74.5,17.3,1.4,74.5,6.8,,0.35,〇
113P036,57.4,24.6,16.4,57.4,1.7,,0.22,×
113P037,54.9,54.9,40.4,2.5,2.2,,0.17,×
113P038,78,3.2,78,8.4,10.4,,0.38,〇
113P039,72.8,13.8,0.9,72.8,12.5,,0.32,〇
113P040,66.9,5.4,23,66.9,4.7,,0.40,×
113P041,78.7,11.8,7.3,78.7,2.3,,0.35,〇
113P042,97.3,97.3,0.7,0.5,1.5,,0.17,〇
113P043,34,27.6,34,9,29.3,,0.23,×
113P044,46.9,46.9,10.2,19,24,,0.32,×
113P045,11.5,24.4,43.5,20.7,11.5,,0.09,×
113P046,66.7,4.3,1,66.7,28.1,,0.25,×
113P047,81.8,9.6,81.8,4,4.6,,0.22,〇
113P048,38.4,38.4,0.2,0.6,60.8,,0.06,×
113P049,68.2,68.2,23.6,0.7,7.5,,0.33,×
113P050,94.3,94.3,0.3,0.9,4.5,,0.23,〇
113P051,92.5,1.5,2.9,92.5,3.1,,0.24,〇
113P052,81.7,4.3,6.1,8,81.7,,0.32,〇
113P053,89.4,5.3,1.4,89.4,3.9,,0.20,〇
113P054,92,1.7,5.5,0.8,92,,0.12,〇
113P055,79.6,3.4,2.2,79.6,14.8,,0.41,〇
113P056,77.3,11.2,77.3,5.1,6.4,,0.17,〇
113P057,80.9,8.3,10.1,80.9,0.8,,0.33,〇
113P058,89,89,4.4,1.8,4.8,,0.23,〇
113P059,96.9,0.6,96.9,0.8,1.7,,0.16,〇
113P060,97.6,1.4,97.6,0.2,0.8,,0.13,〇
113P061,96.7,96.7,1.3,0.3,1.7,,0.18,〇
113P062,84.4,0.9,11.9,2.8,84.4,,0.17,〇
113P063,66.3,1.5,66.3,31.2,1.1,,0.33,×
113P064,80.4,0.7,1.5,80.4,17.4,,0.32,〇
113P065,72.4,5.2,5.2,72.4,17.3,,0.41,〇
113P066,98.1,1.3,0.2,0.3,98.1,,0.08,〇
113P067,87.6,87.6,0.1,9.8,2.5,,0.09,〇
113P068,83,83,6.2,7.5,3.3,,0.29,〇
113P069,99.4,0.2,0.1,0.4,99.4,,0.06,〇
113P070,97.4,1.3,0.3,1,97.4,,0.05,〇
113P071,91.6,4,3.4,1,91.6,,0.20,〇
113P072,71.9,71.9,2.7,18.8,6.7,,0.27,〇
113P073,97.7,0.1,0.6,0.4,1.1,97.7,0.17,〇
113P074,66.6,2.7,22.1,66.6,8.3,0.3,0.54,×
113P075,51.9,1.2,1.5,23.8,21.6,51.9,0.17,×
113P076,11.1,11.1,24.9,38.8,4.5,20.7,0.02,×
113P077,81.4,8.9,81.4,3.5,1.8,4.4,0.35,〇
113P078,92.9,0.4,3.5,92.9,1.9,1.3,0.20,〇
113P079,19.6,37.4,12.2,19.6,2.6,28.2,0.26,×
113P080,30.9,20.2,4,13.7,30.9,31.2,0.20,×
113P081,94.9,1.6,94.9,0.4,2.4,0.6,0.15,〇
113P082,40.1,50.5,19.9,23.9,84.9,20.8,0.30,×
113P083,69.9,19.9,83,8.4,85.1,3.7,0.44,×
113P084,74.6,15.4,78.6,17.7,78.9,9.4,0.51,〇
113P085,96,98,1.2,1.8,97.6,1.4,0.18,〇
113P086,97.2,97.8,0.4,99.1,0.4,2.3,0.15,〇
113P087,84.1,85.2,98.5,1.7,8.1,6.5,0.19,〇
113P088,42.9,60.5,31.2,62.7,21.6,24,0.19,×
113P089,96.6,2.4,98.3,0.5,98,0.8,0.14,〇
113P090,85.3,,,,,,0.32,〇
113P091,77.4,14.6,77.4,7.2,0.7,,0.33,〇
113P092,73.6,73.6,13,5.1,8.4,,0.05,〇
113P093,87.1,0.2,12.5,87.1,0.3,,0.14,〇
113P094,94.3,0.3,1,4.4,94.3,,0.22,〇
113P095,27.8,1,16.2,26.4,28.5,27.8,0.44,×
113P096,93.8,0.9,2,93.8,3.3,,0.23,〇
113P097,92,3.6,3.8,92,0.6,,0.27,〇
113P098,80.3,80.3,1.1,12.5,6.1,,0.28,〇
113P099,63.1,25.7,4.8,6.3,63.1,,0.43,×
113P100,82.7,13.6,82.7,0.9,2.8,,0.36,〇
113P101,92.1,2,92.1,4,1.9,,0.25,〇
113P102,89.6,0.7,6.9,89.6,2.8,,0.25,〇
113P103,99.2,0.3,0.5,99.2,0.1,,0.08,〇
113P104,78.2,12.2,78.2,8.8,0.9,,0.27,〇
113P105,93.8,0.3,3.6,2.3,93.8,,0.12,〇
113P106,81.7,3.7,13.1,81.7,1.5,,0.29,〇
113P107,97,0.3,0.4,97,2.4,,0.15,〇
113P108,94.5,0.4,94.5,4.7,0.3,,0.16,〇
113P109,97.3,0.2,0.4,2.1,97.3,,0.15,〇
113P110,73.6,73.6,12.2,1.1,13.1,,0.24,〇
113P111,91.6,4,2.4,91.6,2.1,,0.27,〇
113P112,95.9,2.7,95.9,0.2,1.2,,0.11,〇
113P113,98.8,0.2,0.3,98.8,0.7,,0.05,〇
113P114,75,0.1,3.4,21.5,75,,0.27,〇
113P115,92.1,1,5.1,92.1,1.8,,0.13,〇
113P116,81,81,5,10.9,3.1,,0.27,〇
113P117,70,0.8,28.2,1,70,,0.16,〇
113P118,97.8,1.4,0.3,0.6,97.8,,0.12,〇
113P119,39.4,1.4,39.4,9.8,49.4,,0.15,×
113P120,95.1,0.9,95.1,3.7,0.4,,0.17,〇
114A001,96.8,1,2,96.8,0.3,,0.18,〇
114A002,99,99,0.2,0.7,0,,0.08,〇
114A003,98.3,0.1,0.1,1.5,98.3,,0.05,〇
114A004,98.2,0.5,98.2,1.2,0.2,,0.08,〇
114A005,98.9,98.9,0.2,0.3,0.5,,0.11,〇
114A006,99.6,0.2,99.6,0.1,0.1,,0.04,〇
114A007,97.1,97.1,1.9,0.9,0.1,,0.19,〇
114A008,92,2.4,92,4.7,0.9,,0.18,〇
114A009,88.8,8.5,88.8,0.5,2.2,,0.29,〇
114A010,94.7,0.1,4.8,94.7,0.3,,0.24,〇
114A011,88.9,5,88.9,3.3,2.9,,0.34,〇
114A012,84.2,3.6,4.3,84.2,7.9,,0.36,〇
114A013,58.5,20.5,3.1,17.8,58.5,,0.27,×
114A014,87.6,0.3,7.6,4.6,87.6,,0.29,〇
114A015,87.5,4.1,7.5,87.5,0.9,,0.31,〇
114A016,52.7,0.7,52.7,24.3,22.3,,0.32,×
114A017,94,2.5,1.3,94,2.2,,0.22,〇
114A018,95.9,2.3,1.2,95.9,0.6,,0.25,〇
114A019,97.5,0.6,0.7,1.1,97.5,,0.16,〇
114A020,97.6,0.1,97.6,0.5,1.8,,0.16,〇
114A021,96.8,0.1,2.6,96.8,0.6,,0.17,〇
114A022,98.8,0.1,0.8,98.8,0.3,,0.07,〇
114A023,97.8,0.6,0.6,97.8,1,,0.07,〇
114A024,98.9,0.3,0.3,0.5,98.9,,0.08,〇
114A025,86.6,3.8,2.6,7,86.6,,0.13,〇
114A026,16.4,3,21.6,59,16.4,,-0.07,×
114A027,22.8,12,22.8,15.7,49.4,,0.13,×
114A028,28.5,24.8,25.5,21.2,28.5,,0.25,×
114A029,39.7,39.7,2.1,13.7,44.6,,0.15,×
114A030,64.3,11.9,9.9,64.3,13.9,,0.19,×
114A031,65.4,65.4,7.7,12.1,14.7,,0.44,×
114A032,74.6,1.1,9.1,15.2,74.6,,0.01,〇
114A033,83.2,83.2,6.7,6.8,3.3,,0.29,〇
114A034,20.1,20.1,15.3,48.5,16.1,,0.38,×
114A035,97.4,1,97.4,1.1,0.5,,0.13,〇
114A036,65.8,65.8,3.8,14.2,16.2,,0.41,×
114A037,85.2,0.4,85.2,5,9.4,,0.25,〇
114A038,89,5.7,1.3,4,89,,0.28,〇
114A039,58.4,58.4,2.4,26.1,13.1,,0.10,×
114A040,40.7,40.7,29.3,21.6,8.3,,0.32,×
114A041,85.6,3,85.6,10.1,1.4,,0.32,〇
114A042,91.9,2.3,91.9,3.2,2.6,,0.23,〇
114A043,33.5,33.5,4.7,12.8,48.9,,0.15,×
114A044,78.3,4.5,1.6,15.5,78.3,,0.26,〇
114A045,98.8,98.8,0.2,0.4,0.6,,0.09,〇
114A046,76.4,4.4,16.1,3.1,76.4,,0.14,〇
114A047,69.3,18.2,6.1,69.3,6.4,,0.49,×
114A048,98.7,0.4,0.7,98.7,0.1,,0.09,〇
114A049,62,62,10.8,24.2,3,,0.49,×
114A050,93.6,1.4,3.6,1.4,93.6,,0.13,〇
114A051,77.5,2,1.7,77.5,18.8,,0.27,〇
114A052,48.2,7.6,48.2,6.9,37.3,,0.19,×
114A053,70.1,18.2,10.4,1.3,70.1,,0.31,〇
114A054,43.1,4,50.1,43.1,2.7,,0.46,×
114A055,76.7,3.7,9.5,76.7,10,,0.32,〇
114A056,81.2,81.2,0.1,0.2,18.5,,-0.01,〇
114A057,56.2,2.4,4.5,36.9,56.2,,0.22,×
114A058,85.3,2.6,85.3,9.5,2.6,,0.33,〇
114A059,69.1,7.9,69.1,11.3,11.6,,0.23,×
114A060,62.7,3.3,25.3,62.7,8.7,,0.18,×
114A061,69.8,0.6,8.3,21.3,69.8,,0.30,×
114A062,93.9,0.3,0.5,93.9,5.2,,0.16,〇
114A063,99.2,99.2,0.3,0.3,0.2,,0.07,〇
114A064,66.5,66.5,6.5,3.9,23,,0.34,×
114A065,84.1,6.7,4.2,5,84.1,,0.25,〇
114A066,84.2,4.4,3.5,7.9,84.2,,0.24,〇
114A067,65.1,65.1,1.3,25.9,7.6,,0.27,×
114A068,88.3,2.7,88.3,1.2,7.9,,0.25,〇
114A069,82.4,1.5,4.3,11.9,82.4,,0.21,〇
114A070,88.4,0.1,0.9,10.6,88.4,,0.33,〇
114A071,94.2,0.4,3.3,2.1,94.2,,0.20,〇
114A072,29.3,29.3,28.3,28.5,13.9,,-0.05,×
114A073,77.4,3.9,14.7,77.4,4,,0.32,〇
114A074,86.7,11.5,0.5,1.3,86.7,,0.24,〇
114A075,54.1,12.5,54.1,7.7,25.6,,0.39,×
114A076,61.3,25.8,3.1,61.3,9.8,,0.26,×
114A077,68.2,5.1,8.1,18.5,68.2,,0.30,×
114A078,92.3,1.5,2,92.3,0.8,3.4,0.20,〇
114A079,17.2,43.6,14.8,17.2,7.2,17.2,0.12,×
114A080,45.2,20.5,20.6,7.7,6,45.2,0.26,×
114A081,91.1,2.7,91.1,2.8,3.2,0.2,0.15,〇
114A082,71.6,71.6,2.9,15.2,1.7,8.6,0.26,〇
114A083,63.2,65.1,6.7,6.9,97.3,24,0.44,×
114A084,12.9,6.6,68.6,13.1,36.5,75.1,0.19,×
114A085,9.8,25.7,71,18.6,41.4,43.3,0.20,×
114A086,33.8,40,29.2,71.9,3.5,55.5,0.30,×
114A087,35.7,26,29.5,50.4,55.9,38.2,0.31,×
114A088,56.9,58.4,7.4,2.4,34.2,97.6,0.36,×
114A089,13.6,44.2,56.1,37.2,16.4,46.1,0.20,×
114A090,44.7,42.7,11.9,35.4,55.5,54.5,0.25,×
114A091,58.2,40.7,0.8,58.2,0.2,,0.06,×
114A092,67.1,9.4,22.8,0.6,67.1,,0.23,×
114A093,73.2,73.2,22.3,0.2,4.4,,0.05,〇
114A094,93.3,4.3,93.3,1.8,0.7,,0.22,〇
114A095,49.6,3.1,6.6,40.8,49.6,,0.47,×
114A096,90.8,4.5,90.8,1.9,2.9,,0.29,〇
114A097,71.9,22.6,71.9,4.4,1.2,,0.11,〇
114A098,46.2,1.9,48.4,46.2,3.5,,0.12,×
114A099,46.7,42.3,46.7,0.7,10.3,,0.41,×
114A100,73.2,7.1,2.6,73.2,11.2,5.8,0.14,〇
114A101,19.9,20.6,39.1,22.1,27.8,90.4,0.22,×
114A102,97.2,0.4,2,97.2,0.4,,0.07,〇
114A103,75.1,75.1,0.5,23.9,0.5,,0.11,〇
114A104,64,1.1,1.4,64,33.5,,0.06,×
114A105,71.4,0.7,25,71.4,2.9,,0.26,〇
114A106,74.1,24.9,0.1,0.8,74.1,,0.04,〇
114A107,38.1,45.4,50.1,9.1,89.1,6.3,0.20,×
114A108,94,2.7,1.2,2.2,94,,0.13,〇
114A109,93.4,0.1,93.4,0.3,6.2,,0.14,〇
114A110,90.9,3.1,90.9,4.2,1.8,,0.29,〇
114A111,98.7,0.7,0.1,0.5,98.7,,0.09,〇
114A112,53.2,1.2,16.8,56.5,29.8,95.6,0.40,×
114A113,92.8,1.6,1.5,4.1,92.8,,0.02,〇
114A114,92,5.1,1.5,92,1.3,,0.26,〇
114A115,93.5,2.5,93.5,2.9,1,,0.13,〇
114A116,80.4,13,0.4,6.2,80.4,,0.10,〇
114A117,71.6,4.5,71.6,4.4,19.5,,0.20,〇
114A118,96.5,0.2,96.5,3,0.3,,0.16,〇
114A119,99.1,0.3,99.1,0.2,0.3,,0.07,〇
114A120,95.7,0.2,2,2.1,95.7,,0.15,〇
114P001,96.2,2.1,0.5,96.2,1.3,,0.15,〇
114P002,98.9,0.2,0.7,98.9,0.3,,0.01,〇
114P003,85.5,1.5,3.6,9.4,85.5,,0.27,〇
114P004,83.1,4.5,6.5,83.1,5.8,,0.30,〇
114P005,94.7,2.9,94.7,0.5,2,,0.26,〇
114P006,94.2,94.2,4,1.3,0.5,,0.26,〇
114P007,96.9,0.5,96.9,2,0.6,,0.19,〇
114P008,94.8,2.1,1.9,94.8,1.1,,0.25,〇
114P009,94.3,4.1,0.5,94.3,1.1,,0.25,〇
114P010,96.8,1.6,1.5,96.8,0.2,,0.15,〇
114P011,94.2,3.6,94.2,1.6,0.6,,0.22,〇
114P012,98.4,98.4,1.4,0.2,0.1,,0.13,〇
114P013,99.5,99.5,0.1,0.3,0.1,,0.05,〇
114P014,99.2,0.1,0.4,99.2,0.3,,0.06,〇
114P015,88.3,88.3,5.6,0.8,5.4,,0.32,〇
114P016,97.4,0.4,0.2,2,97.4,,0.14,〇
114P017,98.6,0.1,98.6,0.3,1,,0.13,〇
114P018,98.1,1.4,0.1,0.4,98.1,,0.12,〇
114P019,75.4,14.3,75.4,7.5,2.8,,0.15,〇
114P020,99.4,0.2,0.2,99.4,0.2,,0.04,〇
114P021,99.3,0.4,99.3,0.2,0.1,,0.08,〇
114P022,98,1.2,0.2,98,0.6,,0.09,〇
114P023,91,4.7,2,2.2,91,,0.22,〇
114P024,99,99,0.8,0.1,0.1,,0.08,〇
114P025,90.5,3.2,90.5,5.9,0.4,,0.31,〇
114P026,14.1,49.7,30,6.2,14.1,,-0.12,×
114P027,64.5,13.3,18.1,64.5,4.1,,0.28,×
114P028,8.4,8.4,6.3,65.4,19.8,,0.06,×
114P029,85.9,7.2,1.7,85.9,5.3,,0.27,〇
114P030,72.3,11,5,11.7,72.3,,0.37,〇
114P031,71.8,26.6,71.8,1.2,0.4,,0.23,〇
114P032,58.1,5.3,15.6,58.1,21,,0.17,×
114P033,66,1.2,0.7,32.2,66,,0.37,×
114P034,49.4,1.9,14.2,34.5,49.4,,0.23,×
114P035,85.4,5.8,85.4,2.4,6.5,,0.34,〇
114P036,96.1,96.1,1.9,1.7,0.3,,0.15,〇
114P037,94.7,94.7,0.3,3.9,1.1,,0.21,〇
114P038,43.8,43.8,3.7,4.6,47.9,,0.48,×
114P039,83.3,0.6,13.2,83.3,2.8,,0.26,〇
114P040,90.5,6.2,1.9,90.5,1.4,,0.30,〇
114P041,97.7,0.2,97.7,0.7,1.3,,0.13,〇
114P042,63,63,10.9,6,20.1,,0.32,×
114P043,57.8,15.2,57.8,24,3.1,,0.29,×
114P044,90.7,1,0.3,8,90.7,,0.21,〇
114P045,95.6,0.1,0.4,3.9,95.6,,0.15,〇
114P046,65.7,5.2,65.7,21,8.2,,0.29,×
114P047,87.5,7,2.9,87.5,2.7,,0.21,〇
114P048,33.9,0.5,56,9.6,33.9,,0.11,×
114P049,77.4,7.7,8.3,77.4,6.6,,0.29,〇
114P050,60.1,15.8,20.4,3.7,60.1,,0.35,×
114P051,73,7.7,73,12.9,6.3,,0.47,〇
114P052,64,11.1,11.2,13.7,64,,0.36,×
114P053,83.9,1.9,0.1,14.1,83.9,,0.33,〇
114P054,86.6,1.5,6.8,86.6,5.2,,0.22,〇
114P055,14.8,9.8,9.7,14.8,65.8,,0.14,×
114P056,78.7,3.8,0.4,17.1,78.7,,0.09,〇
114P057,93.9,0.3,4.1,93.9,1.7,,0.20,〇
114P058,99,99,0.2,0.6,0.2,,0.07,〇
114P059,98.3,0.1,1.3,98.3,0.3,,0.11,〇
114P060,36.8,1.5,36.8,49.7,12,,0.14,×
114P061,83.1,83.1,10.2,1.5,5.2,,0.18,〇
114P062,98.1,1.3,0.2,98.1,0.3,,0.11,〇
114P063,85.3,2.7,11.2,85.3,0.8,,0.41,〇
114P064,98.9,98.9,0.1,0.2,0.8,,0.09,〇
114P065,94.9,1.6,1.5,2,94.9,,0.23,〇
114P066,82.3,82.3,4.1,11.7,1.8,,0.16,〇
114P067,89.2,9.6,0.5,0.7,89.2,,0.33,〇
114P068,48.7,9.7,5.1,48.7,36.4,,0.32,×
114P069,96.9,0.1,0.6,96.9,2.4,,0.13,〇
114P070,77.9,3.3,3.5,77.9,15.4,,0.01,〇
114P071,58.8,4.1,2.7,34.4,58.8,,0.23,×
114P072,97.6,0.7,1,97.6,0.7,,0.14,〇
114P073,97.1,0.2,2.3,97.1,0.3,,0.15,〇
114P074,81.7,0.7,81.7,6.8,10.8,,0.34,〇
114P075,97.2,0.2,0.1,2.6,97.2,,0.06,〇
114P076,53.2,1.6,0.5,36.9,53.2,7.9,0.29,×
114P077,65.9,65.9,10.6,8.6,5.4,9.4,0.56,×
114P078,40.4,15.4,11.2,40.4,29.1,3.9,0.30,×
114P079,48.3,26.6,4,5.7,48.3,15.4,0.36,×
114P080,93.8,0.9,93.8,2.2,2.5,0.6,0.20,〇
114P081,81.6,4.2,3.7,81.6,6.4,4.1,0.40,〇
114P082,13.5,64.1,42.5,24.7,23,45.7,0.26,×
114P083,91.9,2.4,5.7,2.7,93.5,95.8,0.32,〇
114P084,74.6,12.6,91.5,5.7,81.5,8.7,0.39,〇
114P085,54.6,0.7,5.5,64.9,88.8,40.1,0.07,×
114P086,75.8,6.7,91.8,82.7,2.7,16.2,0.29,〇
114P087,50.6,15.9,77.5,39.7,2.9,64,0.41,×
114P088,73.1,0.5,76,6.2,96.4,20.9,0.20,〇
114P089,75,1.6,89.5,20.2,84.2,4.5,0.41,〇
114P090,86.7,,,,,,0.30,〇
114P091,97.5,0.8,0.8,1,97.5,,0.13,〇
114P092,99.6,99.6,0.2,0.1,0.1,,0.05,〇
114P093,97.9,97.9,1,0.7,0.4,,0.04,〇
114P094,77.8,6.2,7.2,77.8,8.8,,0.26,〇
114P095,16.4,10.4,6.7,72.9,86.8,23.2,0.09,×
114P096,95.6,0.8,0.1,95.6,3.5,,0.14,〇
114P097,62.6,10.1,8.1,62.6,19.2,,0.48,×
114P098,82.2,1.1,11.8,5,82.2,,0.38,〇
114P099,76.3,6.4,76.3,5.6,11.7,,0.43,〇
114P100,61.8,0.8,61.8,3.5,33.9,,0.10,×
114P101,94.6,4.2,0.3,94.6,0.9,,0.19,〇
114P102,97.5,0.8,0.2,1.5,97.5,,0.11,〇
114P103,58.4,9.9,17,13.3,58.4,1.4,0.49,×
114P104,54.7,54.7,2.4,0.1,1.5,41.2,0.32,×
114P105,98.9,0.5,98.9,0.6,0.1,,0.09,〇
114P106,98.8,98.8,0.1,0.6,0.5,,0.10,〇
114P107,58.3,4.1,36.6,58.3,1,,0.01,×
114P108,94.3,0.5,94.3,0.1,5.1,,0.19,〇
114P109,92.4,0.3,3.8,92.4,3.6,,0.22,〇
114P110,98.8,0.3,0.5,98.8,0.4,,0.10,〇
114P111,88.5,88.5,0.3,6.1,5,,0.26,〇
114P112,93.4,5.8,0.6,93.4,0.2,,0.24,〇
114P113,66.8,66.8,14.1,9.1,10,,0.27,×
114P114,86.1,11,0.9,86.1,2.1,,0.26,〇
114P115,85.8,13.3,0.6,85.8,0.3,,0.29,〇
114P116,32.4,59.1,9.8,18.2,51.8,61.1,0.33,×
114P117,70.7,70.7,26.6,0.4,2.2,,0.39,〇
114P118,69,69,1.5,2,27.5,,0.14,×
114P119,72.6,4.5,10.2,12.7,72.6,,0.09,〇
114P120,43.4,25.8,3.7,7.9,43.4,19.1,0.09,×